filename,job_name,selected_gpu_id,selected_gpu_type,runtime_on_gpu,job_jct,gpu_milli,A100,GTX2080Ti,V100,ddl,frag_size,frag_size_runtime,frag_size_jct
allox_[0-100],openb-pod-1118,0,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,530.0,594660.0,667208520.0
allox_[0-100],openb-pod-2132,3,A100,1301.0,1301.0,160,1301.0,2208,3294,3902.0,840.0,1092840.0,1421784840.0
allox_[0-100],openb-pod-2030,5,A100,1327.0,1327.0,650,1327.0,2181,3390,inf,350.0,464450.0,616325150.0
allox_[0-100],openb-pod-3342,6,A100,1411.0,1411.0,160,1411.0,2415,3603,inf,840.0,1185240.0,1672373640.0
allox_[0-100],openb-pod-1976,7,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,350.0,494900.0,699788600.0
allox_[0-100],openb-pod-1589,8,A100,1528.0,1528.0,460,1528.0,2792,3736,inf,540.0,825120.0,1260783360.0
allox_[0-100],openb-pod-2006,10,GTX2080Ti,1664.0,1664.0,650,1138.0,1664,2767,inf,350.0,582400.0,969113600.0
allox_[0-100],openb-pod-1652,9,A100,1709.9999999999998,1709.9999999999998,470,1710.0,3391,4237,inf,530.0,906299.9999999999,1549772999.9999995
allox_[0-100],openb-pod-1478,11,GTX2080Ti,1733.0,1733.0,480,1177.0,1733,3023,inf,520.0,901160.0,1561710280.0
allox_[0-100],openb-pod-1968,1,A100,1741.0,1741.0,460,1741.0,3215,4277,inf,540.0,940140.0,1636783740.0
allox_[0-100],openb-pod-3101,15,GTX2080Ti,1794.0,1794.0,460,1080.0,1794,2725,inf,540.0,968760.0,1737955440.0
allox_[0-100],openb-pod-3120,12,GTX2080Ti,1811.0,1811.0,650,1245.0,1811,3277,inf,350.0,633850.0,1147902350.0
allox_[0-100],openb-pod-2374,4,A100,1829.0,1829.0,320,1829.0,3594,4440,inf,680.0,1243720.0,2274763880.0
allox_[0-100],openb-pod-2954,13,GTX2080Ti,1863.0,1863.0,650,1281.0,1863,3165,inf,350.0,652050.0,1214769150.0
allox_[0-100],openb-pod-3079,2,A100,1904.0,1904.0,650,1904.0,3616,4770,inf,350.0,666400.0,1268825600.0
allox_[0-100],openb-pod-1127,14,GTX2080Ti,2059.0,2059.0,470,1295.0,2059,3385,3854.0,530.0,1091270.0,2246924930.0
allox_[0-100],openb-pod-2947,25,V100,2707.0,2707.0,470,1086.0,1958,2707,2492.0,530.0,1434710.0,3883759970.0
allox_[0-100],openb-pod-1181,18,GTX2080Ti,2899.0000000000005,2899.0000000000005,650,1772.0,2899,4383,inf,350.0,1014650.0000000001,2941470350.000001
allox_[0-100],openb-pod-1593,24,GTX2080Ti,2900.9999999999995,2900.9999999999995,460,1796.0,2901,4634,2294.0,540.0,1566539.9999999998,4544532539.999999
allox_[0-100],openb-pod-2431,16,GTX2080Ti,3037.999999999999,3037.999999999999,470,2031.0,3038,5089,inf,530.0,1610139.9999999995,4891605319.999997
allox_[0-100],openb-pod-1569,0,A100,1944.999999999999,3066.999999999999,320,1945.0,3736,5059,inf,680.0,1322599.9999999993,4056414199.9999967
allox_[0-100],openb-pod-3038,21,GTX2080Ti,3147.0000000000005,3147.0000000000005,650,2100.0,3147,5159,inf,350.0,1101450.0000000002,3466263150.0000014
allox_[0-100],openb-pod-1211,26,V100,3187.0,3187.0,320,1315.0,2603,3187,inf,680.0,2167160.0,6906738920.0
allox_[0-100],openb-pod-1783,22,GTX2080Ti,3215.0,3215.0,160,2026.0,3215,5317,inf,840.0,2700600.0,8682429000.0
allox_[0-100],openb-pod-2074,27,V100,3478.9999999999995,3478.9999999999995,650,1447.0,2355,3479,inf,350.0,1217649.9999999998,4236204349.9999986
allox_[0-100],openb-pod-2807,19,GTX2080Ti,3524.0,3524.0,650,2506.0,3524,6052,inf,350.0,1233400.0,4346501600.0
allox_[0-100],openb-pod-2335,23,GTX2080Ti,3790.0,3790.0,230,2554.0,3790,6413,inf,770.0,2918300.0,11060357000.0
allox_[0-100],openb-pod-1451,9,A100,2119.999999999999,3829.999999999999,650,2120.0,3911,5254,inf,350.0,741999.9999999997,2841859999.999998
allox_[0-100],openb-pod-1241,5,A100,2519.0000000000005,3846.000000000001,650,2519.0,5006,6444,inf,350.0,881650.0000000001,3390825900.0000014
allox_[0-100],openb-pod-1800,3,A100,2625.0000000000005,3926.000000000001,470,2625.0,4813,6758,inf,530.0,1391250.0000000002,5462047500.000002
allox_[0-100],openb-pod-3161,1,A100,2252.0000000000005,3993.000000000001,470,2252.0,4395,5955,inf,530.0,1193560.0000000002,4765885080.000002
allox_[0-100],openb-pod-2467,17,GTX2080Ti,4033.000000000002,4033.000000000002,220,2755.0,4033,7204,inf,780.0,3145740.0000000014,12686769420.000011
allox_[0-100],openb-pod-1213,4,A100,2368.0,4197.0,470,2368.0,3903,6084,inf,530.0,1255040.0,5267402880.0
allox_[0-100],openb-pod-2038,6,A100,3066.0,4477.0,470,3066.0,5668,7840,inf,530.0,1624980.0,7275035460.0
allox_[0-100],openb-pod-3055,7,A100,3118.000000000001,4532.000000000001,320,3118.0,5386,8069,inf,680.0,2120240.0000000005,9608927680.000004
allox_[0-100],openb-pod-2266,2,A100,2849.000000000001,4753.000000000001,650,2849.0,5297,7095,inf,350.0,997150.0000000003,4739453950.000003
allox_[0-100],openb-pod-2829,8,A100,3441.999999999999,4969.999999999999,320,3442.0,6039,9007,inf,680.0,2340559.9999999995,11632583199.999996
allox_[0-100],openb-pod-1793,15,GTX2080Ti,3560.0,5354.0,110,2510.0,3560,6146,inf,890.0,3168400.0,16963613600.0
allox_[0-100],openb-pod-2816,0,A100,2377.0,5443.999999999999,650,2377.0,4209,6236,inf,350.0,831950.0,4529135799.999999
allox_[0-100],openb-pod-3108,11,GTX2080Ti,3879.000000000001,5612.000000000001,460,2371.0,3879,6213,3899.0,540.0,2094660.0000000005,11755231920.000004
allox_[0-100],openb-pod-2637,14,GTX2080Ti,3813.000000000001,5872.000000000001,460,2700.0,3813,6885,6933.0,540.0,2059020.0000000005,12090565440.000004
allox_[0-100],openb-pod-1404,20,GTX2080Ti,6641.0,6641.0,160,4445.0,6641,11210,13293.0,840.0,5578440.0,37046420040.0
allox_[0-100],openb-pod-3292,12,GTX2080Ti,5593.000000000002,7404.000000000002,470,3772.0,5593,9483,inf,530.0,2964290.000000001,21947603160.00001
allox_[0-100],openb-pod-1239,10,GTX2080Ti,6608.999999999996,8272.999999999996,160,4440.0,6609,11507,8525.0,840.0,5551559.999999997,45928055879.999954
allox_[0-100],openb-pod-2208,13,GTX2080Ti,6747.000000000004,8610.000000000004,320,4589.0,6747,12129,inf,680.0,4587960.000000003,39502335600.00004
allox_[0-100],openb-pod-2419,33,V100,9546.000000000004,9546.000000000004,470,3868.0,7452,9546,inf,530.0,5059380.000000002,48296841480.00004
allox_[0-100],openb-pod-3324,36,V100,10204.00000000001,10204.00000000001,320,3962.0,6988,10204,7720.0,680.0,6938720.0000000065,70802698880.00012
